iter	Passed	Remaining
0	0	45
1	0	45
2	1	42
3	1	38
4	1	37
5	2	37
6	2	37
7	3	37
8	3	37
9	4	37
10	4	36
11	4	36
12	5	35
13	5	34
14	6	34
15	6	33
16	7	34
17	7	34
18	7	33
19	8	33
20	8	33
21	9	33
22	9	32
23	10	32
24	10	32
25	11	32
26	12	32
27	12	32
28	13	31
29	13	31
30	13	30
31	14	30
32	14	29
33	15	29
34	15	28
35	16	28
36	16	28
37	16	27
38	17	27
39	17	26
40	18	26
41	18	25
42	18	24
43	19	24
44	19	23
45	20	23
46	20	23
47	20	22
48	21	22
49	21	21
50	22	21
51	22	20
52	23	20
53	23	20
54	23	19
55	24	19
56	24	18
57	25	18
58	25	17
59	26	17
60	26	17
61	27	16
62	27	16
63	28	15
64	28	15
65	28	14
66	29	14
67	30	14
68	30	13
69	30	13
70	31	12
71	31	12
72	32	11
73	32	11
74	32	10
75	33	10
76	33	10
77	34	9
78	34	9
79	34	8
80	35	8
81	35	7
82	36	7
83	36	7
84	37	6
85	37	6
86	38	5
87	38	5
88	38	4
89	39	4
90	39	3
91	40	3
92	40	3
93	41	2
94	41	2
95	41	1
96	42	1
97	42	0
98	43	0
99	43	0
