iter	Passed	Remaining
0	57	57475
1	58	29160
2	59	19687
3	59	14907
4	60	12038
5	61	10108
6	61	8739
7	62	7711
8	62	6913
9	63	6284
10	64	5761
11	64	5322
12	65	4946
13	65	4640
14	66	4361
15	67	4126
16	67	3914
17	68	3729
18	68	3560
19	69	3411
20	70	3274
21	71	3156
22	71	3043
23	72	2936
24	72	2838
25	73	2747
26	73	2666
27	74	2588
28	75	2517
29	75	2455
30	76	2396
31	77	2339
32	78	2287
33	78	2237
34	79	2190
35	80	2145
36	80	2103
37	81	2061
38	82	2021
39	82	1986
40	83	1948
41	84	1917
42	84	1890
43	85	1862
44	86	1832
45	86	1803
46	87	1777
47	88	1755
48	89	1732
49	89	1709
50	90	1687
51	91	1664
52	91	1642
53	92	1622
54	93	1601
55	93	1582
56	94	1564
57	95	1547
58	95	1530
59	96	1513
60	97	1498
61	98	1483
62	98	1468
63	99	1452
64	99	1437
65	100	1425
66	101	1413
67	102	1401
68	102	1389
69	103	1376
70	104	1365
71	105	1354
72	105	1342
73	106	1332
74	107	1321
75	107	1310
76	108	1299
77	108	1288
78	109	1279
79	110	1269
80	111	1259
81	111	1249
82	111	1236
83	112	1228
84	113	1218
85	113	1210
86	114	1203
87	115	1197
88	116	1189
89	116	1180
90	117	1172
91	118	1164
92	118	1157
93	119	1149
94	120	1143
95	120	1137
96	121	1132
97	122	1127
98	123	1128
99	124	1123
100	125	1117
101	126	1112
102	127	1107
103	127	1102
104	128	1096
105	129	1091
106	130	1087
107	131	1084
108	132	1079
109	132	1075
110	133	1072
111	134	1068
112	135	1064
113	136	1060
114	137	1055
115	137	1051
116	138	1045
117	139	1041
118	140	1036
119	140	1032
120	141	1028
121	142	1023
122	142	1018
123	143	1014
124	144	1010
125	145	1005
126	145	1001
127	146	998
128	147	994
129	147	989
130	148	986
131	149	983
132	150	979
133	150	975
134	151	971
135	152	968
136	153	965
137	154	962
138	154	959
139	155	955
140	156	951
141	156	945
142	157	942
143	158	940
144	159	937
145	159	935
146	160	932
147	161	929
148	162	927
149	163	924
150	163	921
151	164	919
152	165	917
153	166	914
154	167	913
155	168	911
156	169	910
157	170	908
158	171	906
159	172	905
160	173	902
161	173	900
162	174	898
163	176	897
164	176	894
165	177	892
166	178	890
167	179	889
